week,criminal_damage,week_as_week
2014-01-26,52,2014 W04
2014-02-02,42,2014 W05
2014-02-09,45,2014 W06
2014-02-16,60,2014 W07
2014-02-23,45,2014 W08
2014-03-02,48,2014 W09
2014-03-09,57,2014 W10
2014-03-16,76,2014 W11
2014-03-23,60,2014 W12
2014-03-30,64,2014 W13
2014-04-06,45,2014 W14
2014-04-13,73,2014 W15
2014-04-20,72,2014 W16
2014-04-27,76,2014 W17
2014-05-04,89,2014 W18
2014-05-11,69,2014 W19
2014-05-18,62,2014 W20
2014-05-25,75,2014 W21
2014-06-01,61,2014 W22
2014-06-08,80,2014 W23
2014-06-15,73,2014 W24
2014-06-22,76,2014 W25
2014-06-29,84,2014 W26
2014-07-06,58,2014 W27
2014-07-13,75,2014 W28
2014-07-20,84,2014 W29
2014-07-27,73,2014 W30
2014-08-03,78,2014 W31
2014-08-10,89,2014 W32
2014-08-17,72,2014 W33
2014-08-24,60,2014 W34
2014-08-31,52,2014 W35
2014-09-07,59,2014 W36
2014-09-14,71,2014 W37
2014-09-21,68,2014 W38
2014-09-28,45,2014 W39
2014-10-05,56,2014 W40
2014-10-12,71,2014 W41
2014-10-19,65,2014 W42
2014-10-26,61,2014 W43
2014-11-02,61,2014 W44
2014-11-09,62,2014 W45
2014-11-16,50,2014 W46
2014-11-23,55,2014 W47
2014-11-30,39,2014 W48
2014-12-07,39,2014 W49
2014-12-14,52,2014 W50
2014-12-21,63,2014 W51
2014-12-28,76,2014 W52
2015-01-04,43,2015 W01
2015-01-11,49,2015 W02
2015-01-18,80,2015 W03
2015-01-25,55,2015 W04
2015-02-01,66,2015 W05
2015-02-08,48,2015 W06
2015-02-15,26,2015 W07
2015-02-22,36,2015 W08
2015-03-01,48,2015 W09
2015-03-08,49,2015 W10
2015-03-15,92,2015 W11
2015-03-22,50,2015 W12
2015-03-29,44,2015 W13
2015-04-05,59,2015 W14
2015-04-12,58,2015 W15
2015-04-19,61,2015 W16
2015-04-26,68,2015 W17
2015-05-03,75,2015 W18
2015-05-10,72,2015 W19
2015-05-17,79,2015 W20
2015-05-24,68,2015 W21
2015-05-31,71,2015 W22
2015-06-07,81,2015 W23
2015-06-14,70,2015 W24
2015-06-21,71,2015 W25
2015-06-28,73,2015 W26
2015-07-05,72,2015 W27
2015-07-12,72,2015 W28
2015-07-19,79,2015 W29
2015-07-26,93,2015 W30
2015-08-02,64,2015 W31
2015-08-09,47,2015 W32
2015-08-16,59,2015 W33
2015-08-23,52,2015 W34
2015-08-30,63,2015 W35
2015-09-06,54,2015 W36
2015-09-13,72,2015 W37
2015-09-20,74,2015 W38
2015-09-27,73,2015 W39
2015-10-04,64,2015 W40
2015-10-11,49,2015 W41
2015-10-18,76,2015 W42
2015-10-25,62,2015 W43
2015-11-01,66,2015 W44
2015-11-08,57,2015 W45
2015-11-15,53,2015 W46
2015-11-22,79,2015 W47
2015-11-29,50,2015 W48
2015-12-06,80,2015 W49
2015-12-13,71,2015 W50
2015-12-20,40,2015 W51
2015-12-27,72,2015 W52
2016-01-03,65,2015 W53
2016-01-10,63,2016 W01
2016-01-17,48,2016 W02
2016-01-24,62,2016 W03
2016-01-31,69,2016 W04
2016-02-07,44,2016 W05
2016-02-14,63,2016 W06
2016-02-21,79,2016 W07
2016-02-28,77,2016 W08
2016-03-06,68,2016 W09
2016-03-13,67,2016 W10
2016-03-20,79,2016 W11
2016-03-27,67,2016 W12
2016-04-03,72,2016 W13
2016-04-10,64,2016 W14
2016-04-17,72,2016 W15
2016-04-24,68,2016 W16
2016-05-01,70,2016 W17
2016-05-08,68,2016 W18
2016-05-15,79,2016 W19
2016-05-22,84,2016 W20
2016-05-29,79,2016 W21
2016-06-05,71,2016 W22
2016-06-12,67,2016 W23
2016-06-19,74,2016 W24
2016-06-26,104,2016 W25
